"country","adr_avg","cancel_rate","total_reserves","stays_week_nights","stays_weekend_nights","total_nights","benefit_total","reduced_cancel_rate","increased_adr","improved_benefit","additional_benefit"
"ARG",117.761588785047,25.2336448598131,214,485,185,670,78900.2644859815,20.1869158878505,129.537747663552,69270.0079047953,-9630.25658118619
"AUS",116.775258215962,25.1173708920188,426,916,347,1263,147487.15112676,20.093896713615,128.452784037558,129636.358844845,-17850.7922819149
"AUT",106.239580364212,18.2106096595408,1263,3498,1143,4641,493057.892470308,14.5684877276326,116.863538400633,463349.495307212,-29708.3971630963
"BEL",113.847783945346,20.2391118701964,2342,6175,2456,8631,982620.223232281,16.1912894961571,125.232562339881,905873.472065053,-76746.751167228
"CHE",121.991998841251,24.7972190034762,1726,4512,1772,6284,766597.720718421,19.837775202781,134.191198725376,675973.966989924,-90623.7537284968
"CN",108.688444096951,19.859265050821,1279,3505,1582,5087,552898.11512119,15.8874120406568,119.557288506646,511562.604747548,-41335.5103736424
"CZE",111.337777777778,21.6374269005848,171,456,136,592,65911.9644444446,17.3099415204678,122.471555555556,59952.9061385316,-5959.05830591296
"DEU",104.425416609472,16.7192862045299,7285,18653,7134,25787,2692818.21810845,13.3754289636239,114.867958270419,2565906.45324842,-126911.764860032
"DNK",117.582804597701,25.0574712643678,435,1290,456,1746,205299.576827586,20.0459770114942,129.341085057471,180559.797937236,-24739.7788903496
"DZA",112.536116504854,20.3883495145631,103,305,116,421,47377.7050485435,16.3106796116505,123.789728155339,43615.0873077951,-3762.61774074837
"ESP",117.094384345794,25.4322429906542,8560,19252,7106,26358,3086373.78258644,20.3457943925234,128.803822780373,2704269.17045632,-382104.612130119
"FIN",104.265896860987,15.4708520179372,446,1319,532,1851,192996.175089687,12.3766816143498,114.692486547086,186020.61826806,-6975.55682162725
"FRA",109.755913854437,18.5847514662052,10401,26417,10130,36547,4011249.38363811,14.8678011729642,120.731505239881,3756351.28079975,-254898.102838361
"GBR",96.0907475864345,20.2326924663751,12119,41795,16297,58092,5582103.70879115,16.1861539731001,105.699822345078,5146433.3883029,-435670.320488254
"HRV",111.0242,25,100,285,105,390,43299.438,20,122.12662,38103.50544,-5195.93256
"IND",114.360529801325,23.1788079470199,151,357,116,473,54092.5305960267,18.5430463576159,125.796582781458,48468.3403287577,-5624.19026726899
"IRL",98.2212744516894,24.6591582691168,3374,12477,4889,17366,1705710.65212804,19.7273266152934,108.043401896858,1506141.49473798,-199569.157390063
"ISR",110.695814648729,25.2615844544096,669,1199,523,1722,190618.192825111,20.2092675635277,121.765396113602,167305.217433556,-23312.9753915552
"JPN",121.240355329949,14.2131979695431,197,433,142,575,69713.2043147207,11.3705583756345,133.364390862944,67965.066094849,-1748.13821987166
"NLD",108.135268663814,18.4022824536377,2103,5614,2126,7740,836966.97945792,14.7218259629102,118.948795530195,785125.173112609,-51841.8063453106
"NULL",61.7522384937239,11.9246861924686,478,1002,299,1301,80339.6622803348,9.53974895397488,67.9274623430963,79943.0062071516,-396.656073183229
"POL",107.215806100218,23.4204793028322,918,2680,1062,3742,401201.546427016,18.7363834422658,117.93738671024,358633.974943365,-42567.5714836507
"SRB",99.430099009901,2.97029702970297,101,250,31,281,27939.8578217822,2.37623762376238,109.373108910891,30003.5344490148,2063.67662723261
"SWE",113.133598039216,22.2549019607843,1020,2869,1165,4034,456380.934490197,17.8039215686274,124.446957843138,412639.953945333,-43740.980544864
"USA",123.224247491639,23.9369326325848,2093,4021,1793,5814,716425.774916389,19.1495461060678,135.546672240803,637156.839916324,-79268.9350000655
