"country","adr_avg","cancel_rate","total_reserves"
"AGO",117.122928176796,56.6298342541437,362
"ARG",117.761588785047,25.2336448598131,214
"AUS",116.775258215962,25.1173708920188,426
"AUT",106.239580364212,18.2106096595408,1263
"BEL",113.847783945346,20.2391118701964,2342
"BRA",111.061417641764,37.3537353735374,2222
"CHE",121.991998841251,24.7972190034762,1726
"CHN",110.538938938939,46.2462462462462,999
"CN",108.688444096951,19.859265050821,1279
"CZE",111.337777777778,21.6374269005848,171
"DEU",104.425416609472,16.7192862045299,7285
"DNK",117.582804597701,25.0574712643678,435
"DZA",112.536116504854,20.3883495145631,103
"ESP",117.094384345794,25.4322429906542,8560
"FIN",104.265896860987,15.4708520179372,446
"FRA",109.755913854437,18.5847514662052,10401
"GBR",96.0907475864345,20.2326924663751,12119
"GRC",109.962734375,27.34375,128
"HRV",111.0242,25,100
"HUN",113.178652173913,33.4782608695652,230
"IND",114.360529801325,23.1788079470199,151
"IRL",98.2212744516894,24.6591582691168,3374
"ISR",110.695814648729,25.2615844544096,669
"ITA",114.099694230258,35.4427014091997,3761
"JPN",121.240355329949,14.2131979695431,197
"KOR",113.219398496241,41.3533834586466,133
"LUX",132.267832167832,38.1118881118881,286
"MAR",134.395521235521,42.0849420849421,259
"NLD",108.135268663814,18.4022824536377,2103
"NOR",121.633014827018,29.8187808896211,607
"NULL",61.7522384937239,11.9246861924686,478
"POL",107.215806100218,23.4204793028322,918
"PRT",92.1534207539773,56.7174958215546,48463
"ROU",115.03272,26.8,500
"RUS",118.930698412698,37.9365079365079,630
"SRB",99.430099009901,2.97029702970297,101
"SWE",113.133598039216,22.2549019607843,1020
"TUR",112.119959677419,41.1290322580645,248
"USA",123.224247491639,23.9369326325848,2093
