"country","adr_avg","cancel_rate","total_reserves","stays_week_nights","stays_weekend_nights","total_nights","benefit_total"
"AGO",117.122928176796,56.6298342541437,362,2111,827,2938,344107.162983427
"ARG",117.761588785047,25.2336448598131,214,485,185,670,78900.2644859815
"AUS",116.775258215962,25.1173708920188,426,916,347,1263,147487.15112676
"AUT",106.239580364212,18.2106096595408,1263,3498,1143,4641,493057.892470308
"BEL",113.847783945346,20.2391118701964,2342,6175,2456,8631,982620.223232281
"BRA",111.061417641764,37.3537353735374,2222,5477,2282,7759,861725.539482447
"CHE",121.991998841251,24.7972190034762,1726,4512,1772,6284,766597.720718421
"CHN",110.538938938939,46.2462462462462,999,1837,805,2642,292043.876676677
"CN",108.688444096951,19.859265050821,1279,3505,1582,5087,552898.11512119
"CZE",111.337777777778,21.6374269005848,171,456,136,592,65911.9644444446
"DEU",104.425416609472,16.7192862045299,7285,18653,7134,25787,2692818.21810845
"DNK",117.582804597701,25.0574712643678,435,1290,456,1746,205299.576827586
"DZA",112.536116504854,20.3883495145631,103,305,116,421,47377.7050485435
"ESP",117.094384345794,25.4322429906542,8560,19252,7106,26358,3086373.78258644
"FIN",104.265896860987,15.4708520179372,446,1319,532,1851,192996.175089687
"FRA",109.755913854437,18.5847514662052,10401,26417,10130,36547,4011249.38363811
"GBR",96.0907475864345,20.2326924663751,12119,41795,16297,58092,5582103.70879115
"GRC",109.962734375,27.34375,128,358,166,524,57620.4728125
"HRV",111.0242,25,100,285,105,390,43299.438
"HUN",113.178652173913,33.4782608695652,230,630,223,853,96541.3903043478
"IND",114.360529801325,23.1788079470199,151,357,116,473,54092.5305960267
"IRL",98.2212744516894,24.6591582691168,3374,12477,4889,17366,1705710.65212804
"ISR",110.695814648729,25.2615844544096,669,1199,523,1722,190618.192825111
"ITA",114.099694230258,35.4427014091997,3761,8707,3615,12322,1405936.43230524
"JPN",121.240355329949,14.2131979695431,197,433,142,575,69713.2043147207
"KOR",113.219398496241,41.3533834586466,133,209,118,327,37022.7433082708
"LUX",132.267832167832,38.1118881118881,286,747,323,1070,141526.58041958
"MAR",134.395521235521,42.0849420849421,259,744,294,1038,139502.551042471
"NLD",108.135268663814,18.4022824536377,2103,5614,2126,7740,836966.97945792
"NOR",121.633014827018,29.8187808896211,607,1966,665,2631,320016.462009884
"NULL",61.7522384937239,11.9246861924686,478,1002,299,1301,80339.6622803348
"POL",107.215806100218,23.4204793028322,918,2680,1062,3742,401201.546427016
"PRT",92.1534207539773,56.7174958215546,48463,105746,35908,141654,13053900.6634839
"ROU",115.03272,26.8,500,1690,575,2265,260549.1108
"RUS",118.930698412698,37.9365079365079,630,1786,674,2460,292569.518095237
"SRB",99.430099009901,2.97029702970297,101,250,31,281,27939.8578217822
"SWE",113.133598039216,22.2549019607843,1020,2869,1165,4034,456380.934490197
"TUR",112.119959677419,41.1290322580645,248,559,221,780,87453.5685483868
"USA",123.224247491639,23.9369326325848,2093,4021,1793,5814,716425.774916389
