"country","adr_avg","cancel_rate","total_reserves","ONU.CODE"
"AGO",117.122928176796,56.6298342541437,362,24
"ARG",117.761588785047,25.2336448598131,214,32
"AUS",116.775258215962,25.1173708920188,426,36
"AUT",106.239580364212,18.2106096595408,1263,40
"BEL",113.847783945346,20.2391118701964,2342,56
"BRA",111.061417641764,37.3537353735374,2222,76
"CHE",121.991998841251,24.7972190034762,1726,756
"CHN",110.538938938939,46.2462462462462,999,156
"CZE",111.337777777778,21.6374269005848,171,203
"DEU",104.425416609472,16.7192862045299,7285,276
"DNK",117.582804597701,25.0574712643678,435,208
"DZA",112.536116504854,20.3883495145631,103,12
"ESP",117.094384345794,25.4322429906542,8560,724
"FIN",104.265896860987,15.4708520179372,446,246
"FRA",109.755913854437,18.5847514662052,10401,250
"GBR",96.0907475864345,20.2326924663751,12119,826
"GRC",109.962734375,27.34375,128,300
"HRV",111.0242,25,100,191
"HUN",113.178652173913,33.4782608695652,230,348
"IND",114.360529801325,23.1788079470199,151,356
"IRL",98.2212744516894,24.6591582691168,3374,372
"ISR",110.695814648729,25.2615844544096,669,376
"ITA",114.099694230258,35.4427014091997,3761,380
"JPN",121.240355329949,14.2131979695431,197,392
"KOR",113.219398496241,41.3533834586466,133,410
"LUX",132.267832167832,38.1118881118881,286,442
"MAR",134.395521235521,42.0849420849421,259,504
"NLD",108.135268663814,18.4022824536377,2103,528
"NOR",121.633014827018,29.8187808896211,607,578
"POL",107.215806100218,23.4204793028322,918,616
"PRT",92.1534207539773,56.7174958215546,48463,620
"ROU",115.03272,26.8,500,642
"RUS",118.930698412698,37.9365079365079,630,643
"SRB",99.430099009901,2.97029702970297,101,688
"SWE",113.133598039216,22.2549019607843,1020,752
"TUR",112.119959677419,41.1290322580645,248,792
"USA",123.224247491639,23.9369326325848,2093,840
