"dia","reserves"
2015-07-01,122
2015-07-02,93
2015-07-03,56
2015-07-04,88
2015-07-05,53
2015-07-06,75
2015-07-07,54
2015-07-08,69
2015-07-09,80
2015-07-10,51
2015-07-11,103
2015-07-12,62
2015-07-13,84
2015-07-14,35
2015-07-15,102
2015-07-16,103
2015-07-17,151
2015-07-18,155
2015-07-19,54
2015-07-20,125
2015-07-21,71
2015-07-22,127
2015-07-23,124
2015-07-24,64
2015-07-25,203
2015-07-26,47
2015-07-27,170
2015-07-28,34
2015-07-29,50
2015-07-30,99
2015-07-31,69
2015-08-01,110
2015-08-02,50
2015-08-03,182
2015-08-04,51
2015-08-05,152
2015-08-06,75
2015-08-07,133
2015-08-08,206
2015-08-09,84
2015-08-10,206
2015-08-11,115
2015-08-12,133
2015-08-13,106
2015-08-14,329
2015-08-15,190
2015-08-16,98
2015-08-17,188
2015-08-18,94
2015-08-19,66
2015-08-20,110
2015-08-21,75
2015-08-22,139
2015-08-23,79
2015-08-24,153
2015-08-25,126
2015-08-26,121
2015-08-27,99
2015-08-28,84
2015-08-29,109
2015-08-30,101
2015-08-31,115
2015-09-01,100
2015-09-02,128
2015-09-03,154
2015-09-04,192
2015-09-05,239
2015-09-06,151
2015-09-07,131
2015-09-08,104
2015-09-09,201
2015-09-10,139
2015-09-11,210
2015-09-12,190
2015-09-13,65
2015-09-14,149
2015-09-15,121
2015-09-16,170
2015-09-17,331
2015-09-18,340
2015-09-19,194
2015-09-20,129
2015-09-21,225
2015-09-22,101
2015-09-23,159
2015-09-24,214
2015-09-25,275
2015-09-26,197
2015-09-27,69
2015-09-28,107
2015-09-29,111
2015-09-30,205
2015-10-01,121
2015-10-02,204
2015-10-03,209
2015-10-04,184
2015-10-05,223
2015-10-06,177
2015-10-07,190
2015-10-08,164
2015-10-09,210
2015-10-10,250
2015-10-11,102
2015-10-12,205
2015-10-13,98
2015-10-14,72
2015-10-15,254
2015-10-16,355
2015-10-17,130
2015-10-18,116
2015-10-19,229
2015-10-20,109
2015-10-21,131
2015-10-22,88
2015-10-23,99
2015-10-24,160
2015-10-25,148
2015-10-26,97
