"dia","tipo_viatge","adr","is_canceled"
2015-07-01,"Work",0,0
2015-07-01,"Work",0,0
2015-07-01,"Work",75,0
2015-07-01,"Work",75,0
2015-07-01,"Work",98,0
2015-07-01,"Work",98,0
2015-07-01,"Work",107,0
2015-07-01,"Work",103,0
2015-07-01,"Work",82,1
2015-07-01,"Work",105.5,1
2015-07-01,"Work",123,1
2015-07-01,"Work",145,0
2015-07-01,"Work",97,0
2015-07-01,"Work",154.77,0
2015-07-01,"Work",94.71,0
2015-07-01,"Work",97,0
2015-07-01,"Work",97.5,0
2015-07-01,"Work",88.2,0
2015-07-01,"Work",107.42,0
2015-07-01,"Work",153,0
2015-07-01,"Leisure",97.29,0
2015-07-01,"Leisure",84.67,0
2015-07-01,"Leisure",84.67,0
2015-07-01,"Leisure",99.67,0
2015-07-01,"Leisure",94.95,0
2015-07-01,"Leisure",63.6,0
2015-07-01,"Leisure",79.5,0
2015-07-01,"Leisure",107,1
2015-07-01,"Leisure",94,0
2015-07-01,"Leisure",87.3,0
2015-07-01,"Leisure",62,0
2015-07-01,"Leisure",63.86,0
2015-07-01,"Leisure",108.3,1
2015-07-02,"Leisure",65.5,0
2015-07-02,"Leisure",108.8,1
2015-07-02,"Leisure",108.8,1
2015-07-02,"Leisure",98,0
2015-07-02,"Leisure",108.8,0
2015-07-02,"Leisure",108.8,1
2015-07-02,"Leisure",137,0
2015-07-02,"Leisure",117.81,1
2015-07-02,"Leisure",79.5,0
2015-07-02,"Leisure",123,0
2015-07-02,"Leisure",137,0
2015-07-02,"Leisure",110.7,0
2015-07-02,"Leisure",153,1
2015-07-02,"Leisure",58.95,0
2015-07-02,"Leisure",82.88,0
2015-07-02,"Leisure",82.35,0
2015-07-02,"Leisure",119.35,0
2015-07-02,"Leisure",67.58,0
2015-07-02,"Leisure",56.01,0
2015-07-02,"Leisure",110.7,0
2015-07-02,"Work",88.2,0
2015-07-02,"Work",147,0
2015-07-02,"Work",107,0
2015-07-02,"Work",147,0
2015-07-02,"Work",117.9,0
2015-07-02,"Work",123,0
2015-07-02,"Work",98,0
2015-07-02,"Work",117.81,0
2015-07-02,"Work",135,0
2015-07-02,"Work",133,0
2015-07-02,"Work",58.95,0
2015-07-02,"Work",136.33,1
2015-07-03,"Work",153,0
2015-07-03,"Work",110.5,0
2015-07-03,"Work",97,0
2015-07-03,"Work",110.3,1
2015-07-03,"Work",82,1
2015-07-03,"Work",97,1
2015-07-03,"Work",73.8,1
2015-07-03,"Work",91.5,0
2015-07-03,"Work",114.5,0
2015-07-03,"Work",110.3,1
2015-07-03,"Leisure",90.9,0
2015-07-03,"Leisure",123,1
2015-07-03,"Leisure",122,0
2015-07-03,"Leisure",110.7,0
2015-07-03,"Leisure",85.86,0
2015-07-03,"Leisure",58.95,0
2015-07-03,"Leisure",55.68,1
2015-07-03,"Leisure",55.68,0
2015-07-03,"Leisure",124,1
2015-07-03,"Leisure",111.15,0
2015-07-03,"Leisure",134.73,0
2015-07-03,"Leisure",92.45,0
2015-07-03,"Leisure",108.73,1
2015-07-03,"Work",73.8,0
2015-07-03,"Work",98,0
2015-07-03,"Work",131,0
2015-07-03,"Work",123,0
2015-07-03,"Work",94.71,0
2015-07-03,"Work",123,0
2015-07-03,"Work",123,1
2015-07-03,"Work",73.8,1
2015-07-03,"Leisure",117,1
2015-07-03,"Leisure",196.54,0
2015-07-03,"Leisure",99.3,0
2015-07-03,"Leisure",90.95,0
2015-07-04,"Leisure",92.67,0
2015-07-04,"Leisure",71.55,0
2015-07-04,"Leisure",96.49,0
2015-07-04,"Leisure",85.8,0
2015-07-04,"Leisure",96.3,0
2015-07-04,"Leisure",163,1
2015-07-04,"Leisure",172,1
2015-07-04,"Leisure",110.7,1
2015-07-04,"Leisure",58.95,0
2015-07-04,"Leisure",73.8,0
