"country","year","month","total_spent"
"ABW",2016,6,630.72
"ABW",2017,5,297
"AIA",2016,7,1060
"ALB",2015,7,428
"ALB",2015,12,131.78
"ALB",2016,3,105.45
"ALB",2016,4,327
"ALB",2016,6,565
"ALB",2016,11,696
"ALB",2017,1,848.6
"ALB",2017,2,367.2
"ARG",2015,7,395
"ARG",2015,8,2744
"ARG",2015,9,507.39
"ARG",2015,10,1055.84
"ARG",2015,11,420
"ARG",2015,12,140
"ARG",2016,1,1027.26
"ARG",2016,2,495.31
"ARG",2016,3,2477.7
"ARG",2016,4,3632.94
"ARG",2016,5,6355.4
"ARG",2016,6,4547.88
"ARG",2016,7,5814.99
"ARG",2016,8,2220.14
"ARG",2016,9,2839.39
"ARG",2016,10,2199.87
"ARG",2016,11,2551.69
"ARG",2016,12,904.54
"ARG",2017,1,4885.09
"ARG",2017,2,1279.16
"ARG",2017,3,1519.21
"ARG",2017,4,2906.35
"ARG",2017,5,11041.8
"ARG",2017,6,8364.3
"ARG",2017,7,3904.19
"ARG",2017,8,4575.65
"ARM",2015,11,345.8
"ARM",2016,1,128
"ARM",2016,2,130.4
"ARM",2016,3,263
"ARM",2016,5,884.2
"ARM",2017,7,251.7
"ASM",2017,1,72.07
"ATA",2016,10,351
"ATA",2017,1,186
"ATF",2017,7,252
"AUS",2015,7,529.8
"AUS",2015,8,1853.58
"AUS",2015,9,2504.02
"AUS",2015,10,868.2
"AUS",2015,11,1373
"AUS",2015,12,636.98
"AUS",2016,1,959.16
"AUS",2016,2,1880
"AUS",2016,3,2261.67
"AUS",2016,4,3569.4
"AUS",2016,5,3673.3
"AUS",2016,6,6208.39
"AUS",2016,7,6449.98
"AUS",2016,8,6060.26
"AUS",2016,9,13045.95
"AUS",2016,10,4507.63
"AUS",2016,11,2862.31
"AUS",2016,12,2210.1
"AUS",2017,1,5742.25
"AUS",2017,2,1810.12
"AUS",2017,3,1747
"AUS",2017,4,5501.24
"AUS",2017,5,17584.41
"AUS",2017,6,17104.25
"AUS",2017,7,16743.6
"AUS",2017,8,15586.95
"AUT",2015,7,1339.42
"AUT",2015,8,1914
"AUT",2015,9,6133.26
"AUT",2015,10,7477.14
"AUT",2015,11,14372.13
"AUT",2015,12,4022.49
"AUT",2016,1,301.5
"AUT",2016,2,11709.49
"AUT",2016,3,14573.69
"AUT",2016,4,21442.67
"AUT",2016,5,64151.32
"AUT",2016,6,14194.29
"AUT",2016,7,22762.69
"AUT",2016,8,24077.98
"AUT",2016,9,15923.09
"AUT",2016,10,31823.45
"AUT",2016,11,4071.82
"AUT",2016,12,12220.21
"AUT",2017,1,6173.3
"AUT",2017,2,4298.66
"AUT",2017,3,28724.02
"AUT",2017,4,33608.87
"AUT",2017,5,38269.65
"AUT",2017,6,34180.38
"AUT",2017,7,27579.41
"AUT",2017,8,31963.33
"BDI",2016,5,92
"BEL",2015,7,8942.38
"BEL",2015,8,11829.72
"BEL",2015,9,28562.28
"BEL",2015,10,18393.02
"BEL",2015,11,6544.65
"BEL",2015,12,7596.94
"BEL",2016,1,7049.29
"BEL",2016,2,11655.86
"BEL",2016,3,28399.72
"BEL",2016,4,31384.5
"BEL",2016,5,31146.23
"BEL",2016,6,31380.24
"BEL",2016,7,63207.91
"BEL",2016,8,50295.21
"BEL",2016,9,59503.99
"BEL",2016,10,51545.37
"BEL",2016,11,27984.37
"BEL",2016,12,19544.86
"BEL",2017,1,15755.13
"BEL",2017,2,23613.47
"BEL",2017,3,23682.7
"BEL",2017,4,66362.34
"BEL",2017,5,81343.28
"BEL",2017,6,60462.06
"BEL",2017,7,141623.57
"BEL",2017,8,71342.77
"BFA",2016,1,80.3
"BGR",2015,8,291
"BGR",2015,10,270
"BGR",2015,11,210
"BGR",2016,1,426
"BGR",2016,2,285.2
"BGR",2016,3,1894.2
"BGR",2016,4,1993.15
"BGR",2016,5,1987.1
"BGR",2016,6,1602.4
"BGR",2016,7,3607.03
"BGR",2016,8,454.75
"BGR",2016,9,426.6
"BGR",2016,10,818.13
"BGR",2016,11,329.88
"BGR",2016,12,1411.36
"BGR",2017,1,744
"BGR",2017,2,978.5
"BGR",2017,3,1306.2
"BGR",2017,4,2538
"BGR",2017,5,2030.05
"BGR",2017,6,3394.02
"BGR",2017,7,130.5
"BGR",2017,8,2077.1
"BHS",2017,4,355.95
"BIH",2016,2,50
"BIH",2016,4,857.75
"BIH",2016,6,306.9
"BIH",2016,7,180
"BIH",2016,10,1170
"BIH",2016,12,918
"BIH",2017,3,367.2
"BIH",2017,4,333
"BIH",2017,5,561.6
"BOL",2016,5,3450
"BRB",2016,6,760
"BWA",2015,7,355.5
"CAF",2016,9,503.3
"CAF",2017,2,97
"CAF",2017,5,289.68
"CAF",2017,8,157
"CHE",2015,7,14765.9
"CHE",2015,8,13125.19
"CHE",2015,9,15963.38
"CHE",2015,10,10744.87
"CHE",2015,11,3070.95
"CHE",2015,12,6937.25
"CHE",2016,1,2054.59
"CHE",2016,2,9196.11
"CHE",2016,3,19997.16
"CHE",2016,4,31082.78
"CHE",2016,5,30962.61
"CHE",2016,6,30806.98
"CHE",2016,7,50675.05
"CHE",2016,8,37852.72
"CHE",2016,9,30547.56
"CHE",2016,10,48104.09
"CHE",2016,11,18175.66
"CHE",2016,12,19812.86
"CHE",2017,1,8826.77
"CHE",2017,2,21350.18
"CHE",2017,3,18913.45
"CHE",2017,4,42015.76
"CHE",2017,5,69001.8
"CHE",2017,6,47414.57
"CHE",2017,7,127722.32
"CHE",2017,8,65076.97
"CHL",2015,9,333
"CHL",2015,10,347
"CHL",2015,11,837.69
"CHL",2016,1,118
"CHL",2016,2,1322.39
"CHL",2016,3,717.8
"CHL",2016,4,2739.65
"CHL",2016,5,1133.2
"CHL",2016,6,2031.6
"CHL",2016,7,1709.26
"CHL",2016,8,149
"CHL",2016,9,2452.48
"CHL",2016,10,1204.2
"CHL",2016,11,522.75
"CHL",2016,12,1397.6
"CHL",2017,1,848.8
"CHL",2017,2,994
"CHL",2017,4,595
"CHL",2017,5,590
"CHL",2017,6,618
"CHL",2017,7,760
"CHL",2017,8,2354.48
"CMR",2015,9,850
"CMR",2015,10,489.07
"CMR",2016,1,304.98
"CMR",2016,5,513
"CMR",2016,10,830.11
"CMR",2017,7,877.82
"CN",2015,7,9654.12
